"","Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"332","S4501",804,7000,9001,"CT","Fairfield",271,"2019"
"333","S4501",804,7040,9009,"CT","New Haven",11,"2019"
"334","S4607",2,7000,9001,"CT","Fairfield",16,"2019"
"335","S4802",76,7000,9001,"CT","Fairfield",2608,"2019"
"336","S4802",76,7010,9003,"CT","Hartford",2711,"2019"
"337","S4802",76,7020,9005,"CT","Litchfield",832,"2019"
"338","S4802",76,7030,9007,"CT","Middlesex",528,"2019"
"339","S4802",76,7040,9009,"CT","New Haven",3229,"2019"
"340","S4802",76,7050,9011,"CT","New London",1278,"2019"
"341","S4802",76,7060,9013,"CT","Tolland",349,"2019"
"342","S4802",76,7070,9015,"CT","Windham",630,"2019"
"343","S4802",77,7000,9001,"CT","Fairfield",14,"2019"
"344","S4802",99,7000,9001,"CT","Fairfield",181,"2019"
"345","S4802",99,7010,9003,"CT","Hartford",144,"2019"
"346","S4802",99,7020,9005,"CT","Litchfield",57,"2019"
"347","S4802",99,7030,9007,"CT","Middlesex",41,"2019"
"348","S4802",99,7040,9009,"CT","New Haven",143,"2019"
"349","S4802",99,7050,9011,"CT","New London",51,"2019"
"350","S4802",99,7060,9013,"CT","Tolland",26,"2019"
"351","S4802",99,7070,9015,"CT","Windham",34,"2019"
"352","S4802",137,7000,9001,"CT","Fairfield",2142,"2019"
"353","S4802",137,7010,9003,"CT","Hartford",901,"2019"
"354","S4802",137,7020,9005,"CT","Litchfield",422,"2019"
"355","S4802",137,7030,9007,"CT","Middlesex",210,"2019"
"356","S4802",137,7040,9009,"CT","New Haven",807,"2019"
"357","S4802",137,7050,9011,"CT","New London",386,"2019"
"358","S4802",137,7060,9013,"CT","Tolland",168,"2019"
"359","S4802",137,7070,9015,"CT","Windham",220,"2019"
"360","S5552",4,7000,9001,"CT","Fairfield",30,"2019"
"361","S5552",4,7010,9003,"CT","Hartford",13,"2019"
"362","S5552",4,7040,9009,"CT","New Haven",23,"2019"
"363","S5601",4,7000,9001,"CT","Fairfield",12690,"2019"
"364","S5601",4,7010,9003,"CT","Hartford",11887,"2019"
"365","S5601",4,7020,9005,"CT","Litchfield",3148,"2019"
"366","S5601",4,7030,9007,"CT","Middlesex",2154,"2019"
"367","S5601",4,7040,9009,"CT","New Haven",12391,"2019"
"368","S5601",4,7050,9011,"CT","New London",4290,"2019"
"369","S5601",4,7060,9013,"CT","Tolland",1397,"2019"
"370","S5601",4,7070,9015,"CT","Windham",1865,"2019"
"371","S5601",5,7000,9001,"CT","Fairfield",512,"2019"
"372","S5601",5,7010,9003,"CT","Hartford",317,"2019"
"373","S5601",5,7020,9005,"CT","Litchfield",125,"2019"
"374","S5601",5,7030,9007,"CT","Middlesex",72,"2019"
"375","S5601",5,7040,9009,"CT","New Haven",384,"2019"
"376","S5601",5,7050,9011,"CT","New London",134,"2019"
"377","S5601",5,7060,9013,"CT","Tolland",64,"2019"
"378","S5601",5,7070,9015,"CT","Windham",53,"2019"
"379","S5601",6,7000,9001,"CT","Fairfield",113,"2019"
"380","S5601",6,7010,9003,"CT","Hartford",31,"2019"
"381","S5601",6,7020,9005,"CT","Litchfield",15,"2019"
"382","S5601",6,7040,9009,"CT","New Haven",44,"2019"
"383","S5601",8,7000,9001,"CT","Fairfield",15,"2019"
"384","S5601",12,7000,9001,"CT","Fairfield",13,"2019"
"385","S5601",16,7010,9003,"CT","Hartford",12,"2019"
"386","S5601",16,7040,9009,"CT","New Haven",17,"2019"
"387","S5601",22,7000,9001,"CT","Fairfield",71,"2019"
"388","S5601",22,7010,9003,"CT","Hartford",56,"2019"
"389","S5601",22,7020,9005,"CT","Litchfield",15,"2019"
"390","S5601",22,7030,9007,"CT","Middlesex",12,"2019"
"391","S5601",22,7040,9009,"CT","New Haven",72,"2019"
"392","S5601",22,7050,9011,"CT","New London",24,"2019"
"393","S5601",64,7000,9001,"CT","Fairfield",12,"2019"
"394","S5601",144,7000,9001,"CT","Fairfield",63,"2019"
"395","S5601",144,7010,9003,"CT","Hartford",35,"2019"
"396","S5601",144,7020,9005,"CT","Litchfield",16,"2019"
"397","S5601",144,7030,9007,"CT","Middlesex",12,"2019"
"398","S5601",144,7040,9009,"CT","New Haven",32,"2019"
"399","S5601",144,7050,9011,"CT","New London",14,"2019"
"400","S5601",801,7000,9001,"CT","Fairfield",633,"2019"
"401","S5601",801,7010,9003,"CT","Hartford",412,"2019"
"402","S5601",801,7020,9005,"CT","Litchfield",159,"2019"
"403","S5601",801,7030,9007,"CT","Middlesex",143,"2019"
"404","S5601",801,7040,9009,"CT","New Haven",740,"2019"
"405","S5601",801,7050,9011,"CT","New London",149,"2019"
"406","S5601",801,7060,9013,"CT","Tolland",48,"2019"
"407","S5601",801,7070,9015,"CT","Windham",44,"2019"
"408","S5601",805,7000,9001,"CT","Fairfield",1253,"2019"
"409","S5601",805,7010,9003,"CT","Hartford",1323,"2019"
"410","S5601",805,7020,9005,"CT","Litchfield",205,"2019"
"411","S5601",805,7030,9007,"CT","Middlesex",217,"2019"
"412","S5601",805,7040,9009,"CT","New Haven",624,"2019"
"413","S5601",805,7050,9011,"CT","New London",1252,"2019"
"414","S5601",805,7060,9013,"CT","Tolland",200,"2019"
"415","S5601",805,7070,9015,"CT","Windham",111,"2019"
"416","S5601",807,7000,9001,"CT","Fairfield",77,"2019"
"417","S5601",807,7010,9003,"CT","Hartford",19,"2019"
"418","S5601",807,7030,9007,"CT","Middlesex",63,"2019"
"419","S5601",807,7040,9009,"CT","New Haven",48,"2019"
"420","S5601",807,7050,9011,"CT","New London",30,"2019"
"421","S5601",807,7070,9015,"CT","Windham",25,"2019"
"422","S5601",811,7000,9001,"CT","Fairfield",1029,"2019"
"423","S5601",811,7010,9003,"CT","Hartford",168,"2019"
"424","S5601",811,7020,9005,"CT","Litchfield",209,"2019"
"425","S5601",811,7030,9007,"CT","Middlesex",68,"2019"
"426","S5601",811,7040,9009,"CT","New Haven",446,"2019"
"427","S5601",811,7050,9011,"CT","New London",83,"2019"
"428","S5601",811,7070,9015,"CT","Windham",13,"2019"
"429","S5601",813,7000,9001,"CT","Fairfield",259,"2019"
"430","S5601",813,7010,9003,"CT","Hartford",22,"2019"
"431","S5601",813,7020,9005,"CT","Litchfield",17,"2019"
"432","S5601",813,7040,9009,"CT","New Haven",47,"2019"
"433","S5617",8,7000,9001,"CT","Fairfield",251,"2019"
"434","S5617",8,7010,9003,"CT","Hartford",231,"2019"
"435","S5617",8,7020,9005,"CT","Litchfield",65,"2019"
